op_name,start_date,end_date,location_1,location_2,location_3,location_4
"Operation Abilene, 1966",19660407,19660410,Phuoc Tuy,,,
"Operation Adairsville, 1968",19680131,19680308,Bien Hoa,,,
"Operation Adams, 1966-1967",19661026,19670330,Phu Yen,,,
"Operation Ahina, 1967",19670513,19670518,Binh Duong,Tay Ninh,,
"Operation Aiea, 1966",19660808,19660901,Hau Nghia,,,
"Operation Akron III, 1967",19670926,19671021,Bien Hoa,,,
"Operation Akron, 1967",19670609,19670629,Phuoc Tuy,Bien Hoa,,
"Operation Ala Moana, 1966-1967",19661201,19670514,Binh Duong,Hau Nghai,Tay Ninh,
"Operation Allons, 1968",19680422,19680426,Dong Nai,,,
"Operation Altoona, 1968",19680113,19680123,Bien Hoa,,,
"Operation Arc Light, 1965-1973",19650618,19730814,South Vietnam,,,
"Operation Arkansas City, 1967",19670918,19671009,Phuoc Tuy,,,
"Operation Ashland, 1967",19670518,19670608,Bien Hoa,Long Khanh,,
"Operation Atlanta, 1966",19661020,19661208,Long Khanh,Phuoc Tuy,Hau Nghia,Binh Duong
"Operation Atlanta, 1967",19671223,19671223,Binh Duong,Hau Nghia,,
"Operation Atlas Wedge, 1969",19690318,19690402,Ho Chi Minh City,,,
"Operation Attleboro, 1966",19660914,19661124,Tay Ninh,Binh Long,Binh Duong,
"Operation Aurora II, 1966",19660717,19660803,Phuong Lam,,,
"Operation Austin VI, 1966",19660501,19660518,Quang Duc,Phuoc Long,,
"Operation Badger Catch, 1968",19680123,19680126,Quang Tri,,,
"Operation Beau Diddley, 1967",19670422,19680422,Unknown,,,
"Operation Beaver Cage, 1967",19670430,19670512,Quang Nam,Quang Tin,,
"Operation Benton, 1967",19670812,19670901,Quang Tin,,,
"Operation Big Spring, 1967",19670129,19670216,War Zone D,,,
"Operation Billings, 1967",19670612,19670626,Binh Long,Phuoc Long,Binh Duong,War Zone D
"Operation Birmingham, 1966",19660424,19660517,Tay Ninh,War Zone C,,
"Operation Bismark, 1966",19661125,19661209,Binh Duong,,,
"Operation Black Horse, 1966",19660301,19660305,Binh Dinh,,,
"Operation Blackjack 25, 1967",19670415,19670526,Combat Tactical Zone II,,,
"Operation Blue Jay, 1966",19660830,19660929,Combat Tactical Zone III,Tay Ninh Province,,
"Operation Blue Marlin, 1965",19651110,19651112,Quang Tin,,,
"Operation Bluefield, 1967",19670605,19670609,Unknown,,,
"Operation Bolling, 1967-1969",19670919,19690131,Phu Yen,,,
"Operation Bremerton, 1966",19661025,19661128,Phuoc Tuy,,,
"Operation Buckskin, 1966",19660112,19660131,Binh Duong,Hau Nghai,,
"Operation Buffalo, 1967",19670702,19670714,Quang Tri,,,
"Operation Bull Run I, 1969",19690818,19690924,Phuoc Long,Combat Tactical Zone III,,
"Operation Bull Run II, 1970",19700119,19070315,Phuoc Long,Combat Tactical Zone III,,
"Operation Bullseye V, 1967",19670127,19670131,Binh Dinh,,,
"Operation Burlington Trail, 1968",19680408,19681111,Combat Tactical Zone I,,,
"Operation Burtrand, 1969",19691114,19691117,Nha Trang,,,
"Operation Byrd, 1966-1968",19660826,19680120,Binh Thuan,Lam Dong,Ninh Thuan,Tuyen Duc
"Operation Carentan II, 1968",19680401,19680517,Quang Tri,Thua Thien,,
"Operation Cedar Falls, 1967",19670108,19670127,Binh Duong,,,
"Operation Checkerboard, 1965",19651001,19651216,Binh Duong,Nam Phan,,
"Operation Circle Pines, 1966",19660328,19660405,Hau Nghia,,,
"Operation Cleansweep I, 1968",19680720,19680720,Gia Lai,,,
"Operation Cliff Dweller IV, 1970",19700104,19700111,Tay Ninh,,,
"Operation Cliff Dweller, 1969",19691021,19691024,Tay Ninh,,,
"Operation Clifton Corral, 1968",19680415,19680426,Dong Nai,,,
"Operation Cobra, 1965",19651009,19651101,Binh Dinh,,,
"Operation Cochise, 1968-1969",19680330,19690131,Binh Dinh,Quang Ngai,,
"Operation Colby, 1967",19670119,19670127,Unknown,,,
"Operation Colorado, 1966",19660805,19660822,Quang Nam,Quang Tin,,
"Operation Comeback Ridge, 1970",19700813,19700820,Thua Thien,,,
"Operation Cook, 1967",19670902,19670910,Quang Ngai,,,
"Operation Coronado II, 1967",19670707,19670803,Dinh Tuong,,,
"Operation Coronado V, 1967",19670912,19671010,Kien Hoa,Dinh Tuong,,
"Operation Coronado X, 1968",19680118,19680213,Kien Hoa,Dinh Tuong,Vinh Long,
"Operation Crazy Horse, 1966",19660516,19660605,Binh Dinh,,,
"Operation Crimp, 1966",19660107,19660114,Binh Duong,Haiu Nghia,,
"Operation Cumberland Thunder, 1969",19690818,19680928,Thua Thien,,,
"Operation Dagger Thrust, 1965",19650901,19561101,Binh Dinh,,,
"Operation Dallas, 1967",19670517,19670526,War Zone D,,,
"Operation Dan Tam 81, 1966-1967",19661116,19670112,Long Khanh,Binh Tuy,,
"Operation Darby Talon, 1970",19700312,19700421,Phy Yen,,,
"Operation Davy Crockett, 1966",19660504,19660527,Binh Dinh,,,
"Operation Dazzlem, 1966",19661001,19661001,Binh Dinh,,,
"Operation Deckhouse III, 1966",19660815,19660830,Binh Tuy,,,
"Operation Deckhouse VI, 1967",19670216,19670303,Quang Ngai,,,
"Operation Delaware, 1968",19680418,19680517,Quang Tri,Thua Thien,,
"Operation Denver, 1966",19660409,19660425,Phuoc Long,,,
"Operation DeSoto, 1967",19670126,19670407,Quang Ngai,,,
"Operation Dewey Canyon, 1969",19690122,19690318,Thua Thien,,,
"Operation Dexter, 1966",19660504,19660506,Phuoc Thanh,,,
"Operation Diamond Head, 1967",19670519,19671207,Tay Ninh,Binh Duong,,
"Operation Double Eagle, 1966",19660128,19660128,Quang Tin,Quang Ngai,,
"Operation Duck, 1966-1967",19661018,19670201,Phuoc Tuy,,,
"Operation Eagles Claw, 1966",19660216,19660227,Binh Dinh,,,
"Operation El Dorado, 1966",19660812,19660814,Bihn Duong,,,
"Operation El Paso I, 1966",19660519,19660526,Binh Long,,,
"Operation El Paso II, 1966",19660602,19660713,Binh Long,Phuoc Long,,
"Operation Enterprise, 1967-1968",19670213,19680311,Long An,,,
"Operation EntrÄ›, 1966",19660212,19660216,Bien Hoa,,,
"Operation Fairfax, 1966-1967",19661130,19671214,Gia Dinh,Long An,,
"Operation Fargo, 1966",19660612,19660614,Hau Nghia,,,
"Operation Fargo, 1967-1968",19671221,19680121,Binh Long,Tay Ninh,,
"Operation Farragut, 1967",19670126,19670323,Binh Thuan,Ninh Thuan,Lam Dong,
"Operation Fillmore, 1966",19660325,19660721,Phu Yen,,,
"Operation Fitchburg, 1966-1967",19661125,19670408,Tay Ninh,,,
"Operation Fort Smith, 1966",19660603,19660703,Hau Nghia,,,
"Operation Francis Marion, 1967",19670405,19671012,Gia Lai,Kon Tum,,
"Operation Frequent Wind, 1975",19750504,19750504,Ho Chi Minh City,,,
"Operation Gadsden, 1967",19670201,19670220,War Zone C,Tay Ninh,,
"Operation Game Warden, 1965-1973",19651218,19730301,Mekong Delta,,,
"Operation Garden City, 1967",19670110,19670110,Long An,,,
"Operation Garfield, 1966",19660225,19660324,Dak Lak,,,
"Operation Geronimo I, 1966",19661030,19661204,Phu Yen,,,
"Operation Golden Fleece, 1965",19651010,19651010,Quang Nam,,,
"Operation Golden Valley, 1968",19680510,19680512,Quang Tin,,,
"Operation Goodwood, 1968-1969",19681203,19690217,Bien Hoa,,,
"Operation Hancock I, 1967",19670426,19670522,Dak Lak,,,
"Operation Hancock Queen, 1969",19670304,19670322,Binh Thuan,,,
"Operation Happy Valley, 1965",19651013,19651031,Binh Dinh,,,
"Operation Hardiwood, 1966",19660516,19660608,Phuoc Tuy,,,
"Operation Harrison, 1966",19660221,19660325,Phu Yen,,,
"Operation Harvest Moon, 1965",19651208,19651220,Quang Nam,,,
"Operation Hastings, 1966",19660707,19660803,Quang Tri,,,
"Operation Henry Clay, 1966",19660702,19660730,Binh Dinh,Phu Bon,Phu Yen,Pleiku
"Operation Hickory, 1966",19661006,19661015,Bien Hoa,,,
"Operation Hickory, 1967",19670518,19670528,Quang Tri,,,
"Operation Highland, 1965",19650825,19651001,Binh Dinh,,,
"Operation Hollandia, 1966",19660608,19660618,Phouc Tuy,,,
"Operation Honolulu, 1966",19660314,19660319,Hau Nghia,,,
"Operation Hood River, 1967",19670802,19670813,Quang Ngai,,,
"Operation Hooker I, 1966",19660609,19660621,Pleiku,,,
"Operation Hoptac VII, 1967",19670408,19670408,Dinh Tuong,,,
"Operation Hoptac XVI, 1967",19670502,19670503,Dinh Tuong,,,
"Operation Hump, 1965",19651105,19651109,Binh Duong,War Zone D,,
"Operation Ingham, 1966",19661118,19661203,Phouc Tuy,,,
"Operation Initiator, 1966",19661216,19661226,Long Binh,,,
"Operation Iron Mountain, 1969-1971",19690228,19710228,Quang Ngai,,,
"Operation Irving, 1966",19661001,19661024,Binh Dinh,,,
"Operation James Bond, 1966",19660704,19660704,Binh Dinh,,,
"Operation Jeb Stuart III, 1968",19680517,19681103,Quang Tri,Thua Thien,,
"Operation Jeb Stuart, 1968",19680121,19680331,Quang Tri,Thua Thien,,
"Operation Jim Bowie, 1966",19660307,19660328,Binh Dinh,,,
"Operation John Paul Jones, 1966",19660721,19660905,Khanh Hoa,Phu Bon,Phu Yen,
"Operation Junction City, 1967",19670221,19670514,War Zone C,Tay Ninh,,
"Operation Kahala, 1966",19660416,19660426,Hau Nghia,,,
"Operation Kahuku, 1966",19660406,19660408,Ho Chi Minh City,,,
"Operation Kailua, 1966",19661011,19661114,Hau Nghia,,,
"Operation Kalihi, 1966",19660915,19661114,Unknown,,,
"Operation Kamuela, 1966",19660919,19661004,Hau Nghia,,,
"Operation Katum, 1971",19710927,19711002,Tay Ninh,,,
"Operation Kawela, 1967",19670610,19670625,Bihn Duong,,,
"Operation Keystone Blue Jay, 1970",19700201,19700415,binh duong,,,
"Operation Kien Giang, 1967",19671116,19671124,Dinh Truong,,,
"Operation Kipapa, 1966",19660831,19660912,Hau Nghia,,,
"Operation Kolekole, 1967",19670513,19671207,Hau Nghia,Tay Ninh,Binh Duong,
"Operation Lahaina, 1966",19660807,19660901,Hau Nghia,,,
"Operation Lake, 1967",19670706,19670712,Quang Ngai,,,
"Operation Lanikai, 1966-1967",19660814,19670213,Long An,,,
"Operation Lexington, 1966",19660417,19660504,Bien Hoa,,,
"Operation Linebacker II, 1972",19721218,19721229,Hanoi,,,
"Operation Linebacker, 1972",19710501,19721023,Hanoi,,,
"Operation Long Reach, 1965",19651024,19651116,Pleiku,,,
"Operation Longfellow, 1966",19660413,19660501,Kon tum,,,
"Operation Longview, 1966",19660923,19661001,Bihn Duong,,,
"Operation Lulu, 1969",19690312,19690314,Kien Giang,,,
"Operation MacArthur, 1967-1969",19671011,19690131,Binh Dinh,Pleiku,Kon Tum,
"Operation Macon, 1966",19660704,19661028,Quang Nam,Thua Thien,,
"Operation Manchester, 1967-1968",19671217,19680217,Bien Hoa,Binh Duong,Long Khanh,Phuoc Long
"Operation Manhattan, 1967",19670423,19670607,Binh Duong,,,
"Operation Market Time, 1965-1973",19650311,19730301,Southern Coast,,,
"Operation Masher, 1966",19660124,19660306,Binh Dinh,,,
"Operation Mastiff, 1966",19660221,19660227,Binh Duong,Binh Long,Tay Ninh,
"Operation Meade River, 1968",19681120,19681209,Quang Nam,,,
"Operation Medina, 1967",19671010,19671020,Quang Tri,,,
"Operation Mokuliea, 1966",19660714,19660722,Binh Duong,Hau Nghia,,
"Operation Montana Raider, 1969",19690412,19690514,War Zone C,War Zone D,,
"Operation Muscatine, 1967-1968",19671218,19680610,Quang Ngai,,,
"Operation Nathan Hale, 1966",19660620,19660702,Phu Yen,,,
"Operation Nevada Eagle, 1968-1969",19680517,19690228,Thua Thien,,,
"Operation New Castle, 1967",19670321,19670325,Quang Nam,,,
"Operation Norton Falls, 1969",19690929,19691108,Quang Tri,Thua Thien,,
"Operation Oahu, 1966",19660801,19660831,Tay Ninh,,,
"Operation Ohio Rapids, 1969",19690124,19690228,Thua Thien,,,
"Operation Orange, 1966",19660401,19660411,Quang Nam,,,
"Operation Osage, 1966",19660427,19660502,Thua Thien,,,
"Operation Paddington, 1967",19670706,19670714,Phuoc Tuy,,,
"Operation Palm Beach II, 1967",19670501,19670531,Long An,Dinh Tuong,,
"Operation Palm Beach, 1967",19670106,19670601,Ding Tuong,,,
"Operation Paul Bunyan, 1967",19670719,19670911,Unknown,,,
"Operation Paul Revere IV, 1966",19661018,19661231,Pleiku,,,
"Operation Pegasus, 1968",19680401,19680415,Quang Tri,,,
"Operation Peoples Road, 1968",19680317,19680521,Dinh Tuong,,,
"Operation Pershing I, 1967-1968",19670211,19680119,Binh Dinh,Quang Ngai,,
"Operation Pershing II, 1968",19680120,19680301,Binh Dinh,Quang Ngai,,
"Operation Pershing, 1967",19670318,19670401,Hoa An,,,
"Operation Pickett, 1966-1967",19661206,19670119,Kon tum,,,
"Operation Piranha, 1965",19650901,19650901,Quang Ngai,,,
"Operation Pittsburg, 1967",19670225,19670302,Unknown,,,
"Operation Pocahontas Forest, 1968",19680705,19680803,Quang Nam,Quang Tri,,
"Operation Pocket Money, 1972",19720509,19730114,Northern Coast,,,
"Operation Portsea, 1967",19670320,19670417,Phuoc Tuy,,,
"Operation Prairie, 1966-1967",19660803,19670131,Quang Tri,,,
"Operation Quick Kick II, 1966",19660111,19660114,Binh Duong,,,
"Operation Quick Kick IV, 1966",19660203,19660209,Binh Duong,,,
"Operation Quicksilver, 1967",19671204,19671221,Binh Duong,,,
"Operation Quyet Thang, 1968",19680310,19680408,Ho Chi Minh City,Long An,Hau Nghia,
"Operation Randolph Glen, 1969-1970",19681207,19700331,Thua Thien,Quang Tin,,
"Operation Ransom Raider, 1969",19691124,19691128,Long Khanh,,,
"Operation Riley, 1967-1968",19670703,19680407,Bien Hoa,Long Khanh,,
"Operation Road Runner, 1965",19651110,19651115,Binh Duong,,,
"Operation Rocket, 1967",19670605,19670607,Bien Hoa,,,
"Operation Rolling Thunder, 1965-1968",19650224,19681031,Ho Chi Minh City,,,
"Operation Sam Houston, 1967",19670101,19670405,Pleiku,Kon Tum,,
"Operation San Angelo, 1968",19680115,19680209,Quang Duc,Phuoc Long,,
"Operation Santa Fe, 1967-1968",19671102,19680105,Long Khanh,Binh Tuy,,
"Operation Saratoga, 1967-1968",19671207,19680311,Binh Duong,Gia Dinh,Hau Nghia,Tay Ninh
"Operation Sayonara, 1965",19650928,19651113,Binh Dinh,,,
"Operation Scalping Mustang, 1965",19651217,19651220,Binh Dinh,,,
"Operation Sea Dragon, 1966-1968",19661025,19681031,Northern Coast,,,
"Operation Seward, 1966",19660904,19661025,Phu Yen,,,
"Operation Shenandoah II, 1967",19670927,19671119,Binh Duong,Binh Long,Loc Ninh,
"Operation Shenandoah, 1966",19661016,19661102,Binh Duong,,,
"Operation Sherwood Forest, 1965",19640406,19650331,Tay Ninh,,,
"Operation Silver Bayonet, 1965",19651019,19651128,Pleiku,,,
"Operation Silver City, 1966",19660307,19660323,War Zone D,Bien Hoa,Binh Duong,Long Khanh
"Operation Sioux City, 1966",19660925,19661009,Bien Hoa,,,
"Operation Speedy Express, 1968-1969",19681201,19690531,Dinh Tuong,Kien Hoa,,
"Operation Starlight, 1965",19650818,19650821,Quang Tin,Quang Ngai,,
"Operation Sullivan, 1968",19680913,19680913,Quang Tri,,,
"Operation Sunset Beach, 1966",19660901,19661011,Hau Nghia,,,
"Operation Take Out, 1965",19651228,19651230,Binh Thuan,,,
"Operation Tat Thang 18, 1970",19700403,19700503,Kon tum,,,
"Operation Texas Traveler, 1969",19691124,19691127,War Zone C,,,
"Operation Thayer I, 1966",19660912,19661024,Binh Dinh,,,
"Operation Thayer II, 1966-1967",19661024,19670212,Binh Dinh,,,
"Operation Tiger Concordia VIII, 1967",19670724,19670725,Long An,,,
"Operation Tiger Coronado III, 1967",19670814,19670816,Bien Hoa,,,
"Operation Tiger Coronado IV, 1967",19670825,19670826,Long An,,,
"Operation Tiger Coronado IX, 1967",19671204,19671205,Dinh Tuong,,,
"Operation Tiger Coronado V, 1967",19670728,19670801,Dinh Tuong,,,
"Operation Tiger Coronado, 1967",19670823,19670823,Long An,,,
"Operation Toan Thang 43, 1970",19700501,19700630,Tay Ninh,Binh Long,Phuoc Long,
"Operation Toan Thang II, 1968-1969",19680601,19690216,Binh Duong,Gia Dinh,Hau Nghia,Long An
"Operation Toan Thang III, 1969",19690216,19691031,Tay Ninh,Binh Duong,Gia Dinh,Hau Nghia
"Operation Toledo, 1966",19660809,19660907,Binh Tuy,Phuoc Tuy,,
"Operation Truong Cong Dinh, 1968",19680301,19680521,Long An,Dinh Tuong,,
"Operation Tucson, 1967",19670214,19670221,Binh Long,,,
"Operation Tulsa, 1966",19661008,19661016,Binh Duong,Binh Long,,
"Operation Utah Mesa, 1969",19690611,19690709,Quang Tri,,,
"Operation Valdosta, 1967",19670901,19670906,Long Khanh,,,
"Operation Van Buren, 1966",19660117,19660221,Phu Yen,,,
"Operation Vance Canyon, 1968",19680620,19680702,Quang Ngai,,,
"Operation Vernon Lake I, 1969",19681025,19681102,Quang Ngai,,,
"Operation Vernon Lake II, 1968-1969",19681102,19690228,Quang Ngai,,,
"Operation Vin Loc, 1968",19680910,19680920,Thua Thien,,,
"Operation Waco, 1966",19661124,19661202,Bien Hoa,,,
"Operation Wahiawa, 1966",19660516,19660527,Hau Nghia,,,
"Operation Walker, 1968-1969",19680116,19690131,Binh Dinh,Pleiku,,
"Operation Wallowa, 1967-1968",19681111,19681111,Quang Nam,Quang Tin,,
"Operation Wasco Rapids, 1971",19710312,19710327,Quang Ngai,,,
"Operation Washington Green, 1969-1970",19690415,19701231,Binh Dinh,,,
"Operation Waycross, 1966",19660312,19660325,Binh Duong,,,
"Operation Wheeler, 1967",19670911,19671125,Quang Tin,,,
"Operation Winchester, 1966",19661008,19661204,Quang Nam,Da Nang,,
"Operation Worth, 1968",19680312,19680326,Quang Nam,,,
"Operation Yellowstone, 1967-1968",19671207,19680224,Tay Ninh,,,
"Operation York Market, 1970",19700130,19700416,Quang Tri,,,
"Operation Yorktown, 1966",19660623,19660709,Xuan Loc,,,
"Battle of Quang Tri City, 1968",19680131,19680201,Quang Tri,,,
"Battle of Que Son Valley, 1967",19670419,19670915,Quang Nam,Quang Tin,,